14.01澪標	OH_OO渋谷源氏	310	340	B	さやか	清か	サヤカ	形状詞-一般			サヤカ	和
14.01澪標	OH_OO渋谷源氏	660	670	I	「	「		補助記号-括弧開				記号
14.01澪標	OH_OO渋谷源氏	670	700	I	いかで	如何で	イカデ	副詞			イカデ	和
14.01澪標	OH_OO渋谷源氏	700	710	I	，	，		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	710	720	I	か	彼	カ	代名詞			カ	和
14.01澪標	OH_OO渋谷源氏	720	730	I	の	の	ノ	助詞-格助詞			ノ	和
14.01澪標	OH_OO渋谷源氏	730	750	I	沈み	沈む	シズム	動詞-一般	文語四段-マ行	連用形-一般	シズミ	和
14.01澪標	OH_OO渋谷源氏	750	780	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
14.01澪標	OH_OO渋谷源氏	780	800	I	らむ	らむ	ラム	助動詞	文語助動詞-ラム	連体形-一般	ラム	和
14.01澪標	OH_OO渋谷源氏	800	810	I	罪	罪	ツミ	名詞-普通名詞-一般			ツミ	和
14.01澪標	OH_OO渋谷源氏	810	820	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	820	840	I	救ひ	救う	スクウ	動詞-一般	文語四段-ハ行	連用形-一般	スクイ	和
14.01澪標	OH_OO渋谷源氏	840	890	I	たてまつる	奉る	タテマツル	動詞-非自立可能	文語四段-ラ行	連体形-一般	タテマツル	和
14.01澪標	OH_OO渋谷源氏	890	910	I	こと	事	コト	名詞-普通名詞-一般			コト	和
14.01澪標	OH_OO渋谷源氏	910	920	I	を	を	ヲ	助詞-格助詞			オ	和
14.01澪標	OH_OO渋谷源氏	920	930	I	せ	為る	スル	動詞-非自立可能	文語サ行変格	未然形-一般	セ	和
14.01澪標	OH_OO渋谷源氏	930	940	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
14.01澪標	OH_OO渋谷源氏	940	950	I	」	」		補助記号-括弧閉				記号
14.01澪標	OH_OO渋谷源氏	950	960	I	と	と	ト	助詞-格助詞			ト	和
14.01澪標	OH_OO渋谷源氏	960	970	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	970	990	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
14.01澪標	OH_OO渋谷源氏	990	1010	I	嘆き	嘆く	ナゲク	動詞-一般	文語四段-カ行	連用形-一般	ナゲキ	和
14.01澪標	OH_OO渋谷源氏	1010	1030	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
14.01澪標	OH_OO渋谷源氏	1030	1040	I	を	を	ヲ	助詞-格助詞			オ	和
14.01澪標	OH_OO渋谷源氏	1040	1050	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	1050	1070	I	かく	斯く	カク	副詞			カク	和
14.01澪標	OH_OO渋谷源氏	1070	1090	I	帰り	返る	カエル	動詞-一般	文語四段-ラ行	連用形-一般	カエリ	和
14.01澪標	OH_OO渋谷源氏	1090	1120	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
14.01澪標	OH_OO渋谷源氏	1120	1130	I	て	て	テ	助詞-接続助詞			テ	和
14.01澪標	OH_OO渋谷源氏	1130	1140	I	は	は	ハ	助詞-係助詞			ワ	和
14.01澪標	OH_OO渋谷源氏	1140	1150	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	1150	1160	I	そ	其	ソ	代名詞			ソ	和
14.01澪標	OH_OO渋谷源氏	1160	1170	I	の	の	ノ	助詞-格助詞			ノ	和
14.01澪標	OH_OO渋谷源氏	1170	1180	I	御	御	オオン	接頭辞			オオン	和
14.01澪標	OH_OO渋谷源氏	1180	1200	I	急ぎ	急ぎ	イソギ	名詞-普通名詞-副詞可能			イソギ	和
14.01澪標	OH_OO渋谷源氏	1200	1210	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和
14.01澪標	OH_OO渋谷源氏	1210	1240	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
14.01澪標	OH_OO渋谷源氏	1240	1250	I	。	。		補助記号-句点				記号
14.01澪標	OH_OO渋谷源氏	1250	1280	B	神無月	神無月	カミナヅキ	名詞-普通名詞-一般			カミナズキ	和
14.01澪標	OH_OO渋谷源氏	1280	1290	I	に	に	ニ	助詞-格助詞			ニ	和
14.01澪標	OH_OO渋谷源氏	1290	1300	I	御	御	ミ	接頭辞			ミ	和
14.01澪標	OH_OO渋谷源氏	1300	1320	I	八講	八講	ハッコウ	名詞-普通名詞-一般			ハッコー	漢
14.01澪標	OH_OO渋谷源氏	1320	1330	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和
14.01澪標	OH_OO渋谷源氏	1330	1360	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
14.01澪標	OH_OO渋谷源氏	1360	1370	I	。	。		補助記号-句点				記号
14.01澪標	OH_OO渋谷源氏	1370	1380	B	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
14.01澪標	OH_OO渋谷源氏	1380	1390	I	の	の	ノ	助詞-格助詞			ノ	和
14.01澪標	OH_OO渋谷源氏	1390	1400	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
14.01澪標	OH_OO渋谷源氏	1400	1430	I	なびき	靡く	ナビク	動詞-一般	文語四段-カ行	連用形-一般	ナビキ	和
14.01澪標	OH_OO渋谷源氏	1430	1480	I	仕うまつる	仕る	ツコウマツル	動詞-一般	文語四段-ラ行	連体形-一般	ツコーマツル	和
14.01澪標	OH_OO渋谷源氏	1480	1500	I	こと	事	コト	名詞-普通名詞-一般			コト	和
14.01澪標	OH_OO渋谷源氏	1500	1510	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	1510	1520	I	昔	昔	ムカシ	名詞-普通名詞-副詞可能			ムカシ	和
14.01澪標	OH_OO渋谷源氏	1520	1530	I	の	の	ノ	助詞-格助詞			ノ	和
14.01澪標	OH_OO渋谷源氏	1530	1550	I	やう	様	ヨウ	名詞-普通名詞-形状詞可能			ヨー	漢
14.01澪標	OH_OO渋谷源氏	1550	1570	I	なり	なり	ナリ	助動詞	文語助動詞-ナリ-断定	終止形-一般	ナリ	和
14.01澪標	OH_OO渋谷源氏	1570	1580	I	。	。		補助記号-句点				記号
14.01澪標	OH_OO渋谷源氏	1580	1600	B	大后	大后	オオキサキ	名詞-普通名詞-一般			オーキサキ	和
14.01澪標	OH_OO渋谷源氏	1600	1610	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	1610	1620	I	御	御	オオン	接頭辞			オオン	和
14.01澪標	OH_OO渋谷源氏	1620	1640	I	悩み	悩み	ナヤミ	名詞-普通名詞-一般			ナヤミ	和
14.01澪標	OH_OO渋谷源氏	1640	1660	I	重く	重い	オモイ	形容詞-一般	文語形容詞-ク	連用形-一般	オモク	和
14.01澪標	OH_OO渋谷源氏	1660	1710	I	おはします	おわします	オワシマス	動詞-非自立可能	文語四段-サ行	連体形-一般	オワシマス	和
14.01澪標	OH_OO渋谷源氏	1710	1730	I	うち	内	ウチ	名詞-普通名詞-副詞可能			ウチ	和
14.01澪標	OH_OO渋谷源氏	1730	1740	I	に	に	ニ	助詞-格助詞			ニ	和
14.01澪標	OH_OO渋谷源氏	1740	1750	I	も	も	モ	助詞-係助詞			モ	和
14.01澪標	OH_OO渋谷源氏	1750	1760	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	1760	1770	I	「	「		補助記号-括弧開				記号
14.01澪標	OH_OO渋谷源氏	1770	1800	I	つひに	遂に	ツイニ	副詞			ツイニ	和
14.01澪標	OH_OO渋谷源氏	1800	1810	I	こ	是	コ	代名詞			コ	和
14.01澪標	OH_OO渋谷源氏	1810	1820	I	の	の	ノ	助詞-格助詞			ノ	和
14.01澪標	OH_OO渋谷源氏	1820	1830	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
14.01澪標	OH_OO渋谷源氏	1830	1840	I	を	を	ヲ	助詞-格助詞			オ	和
14.01澪標	OH_OO渋谷源氏	1840	1850	I	え	え	エ	副詞			エ	和
14.01澪標	OH_OO渋谷源氏	1850	1870	I	消た	消つ	ケツ	動詞-一般	文語四段-タ行	未然形-一般	ケタ	和
14.01澪標	OH_OO渋谷源氏	1870	1880	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
14.01澪標	OH_OO渋谷源氏	1880	1900	I	なり	成る	ナル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ナリ	和
14.01澪標	OH_OO渋谷源氏	1900	1910	I	な	ぬ	ヌ	助動詞	文語助動詞-ヌ	未然形-一般	ナ	和
14.01澪標	OH_OO渋谷源氏	1910	1920	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
14.01澪標	OH_OO渋谷源氏	1920	1940	I	こと	事	コト	名詞-普通名詞-一般			コト	和
14.01澪標	OH_OO渋谷源氏	1940	1950	I	」	」		補助記号-括弧閉				記号
14.01澪標	OH_OO渋谷源氏	1950	1960	I	と	と	ト	助詞-格助詞			ト	和
14.01澪標	OH_OO渋谷源氏	1960	1970	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	1970	2000	I	心病み	心病む	ココロヤム	動詞-一般	文語四段-マ行	連用形-一般	ココロヤミ	和
14.01澪標	OH_OO渋谷源氏	2000	2020	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
14.01澪標	OH_OO渋谷源氏	2020	2040	I	けれ	けり	ケリ	助動詞	文語助動詞-ケリ	已然形-一般	ケレ	和
14.01澪標	OH_OO渋谷源氏	2040	2050	I	ど	ど	ド	助詞-接続助詞			ド	和
14.01澪標	OH_OO渋谷源氏	2050	2060	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	2060	2070	I	帝	帝	ミカド	名詞-普通名詞-一般			ミカド	和
14.01澪標	OH_OO渋谷源氏	2070	2080	I	は	は	ハ	助詞-係助詞			ワ	和
14.01澪標	OH_OO渋谷源氏	2080	2090	I	院	院	イン	名詞-普通名詞-一般			イン	漢
14.01澪標	OH_OO渋谷源氏	2090	2100	I	の	の	ノ	助詞-格助詞			ノ	和
14.01澪標	OH_OO渋谷源氏	2100	2110	I	御	御	オオン	接頭辞			オオン	和
14.01澪標	OH_OO渋谷源氏	2110	2130	I	遺言	遺言	ユイゴン	名詞-普通名詞-サ変可能			ユイゴン	漢
14.01澪標	OH_OO渋谷源氏	2130	2140	I	を	を	ヲ	助詞-格助詞			オ	和
14.01澪標	OH_OO渋谷源氏	2140	2160	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
14.01澪標	OH_OO渋谷源氏	2160	2190	I	きこえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
14.01澪標	OH_OO渋谷源氏	2190	2220	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
14.01澪標	OH_OO渋谷源氏	2220	2230	I	。	。		補助記号-句点				記号
14.01澪標	OH_OO渋谷源氏	2230	2250	B	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
14.01澪標	OH_OO渋谷源氏	2250	2260	I	の	の	ノ	助詞-格助詞			ノ	和
14.01澪標	OH_OO渋谷源氏	2260	2280	I	報い	報い	ムクイ	名詞-普通名詞-一般			ムクイ	和
14.01澪標	OH_OO渋谷源氏	2280	2300	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
14.01澪標	OH_OO渋谷源氏	2300	2310	I	ぬ	ぬ	ヌ	助動詞	文語助動詞-ヌ	終止形-一般	ヌ	和
14.01澪標	OH_OO渋谷源氏	2310	2330	I	べく	べし	ベシ	助動詞	文語助動詞-ベシ	連用形-一般	ベク	和
14.01澪標	OH_OO渋谷源氏	2330	2350	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
14.01澪標	OH_OO渋谷源氏	2350	2370	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
14.01澪標	OH_OO渋谷源氏	2370	2380	I	を	を	ヲ	助詞-格助詞			オ	和
14.01澪標	OH_OO渋谷源氏	2380	2390	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	2390	2410	I	直し	直す	ナオス	動詞-非自立可能	文語四段-サ行	連用形-一般	ナオシ	和
14.01澪標	OH_OO渋谷源氏	2410	2430	I	立て	立てる	タテル	動詞-一般	文語下二段-タ行	連用形-一般	タテ	和
14.01澪標	OH_OO渋谷源氏	2430	2460	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
14.01澪標	OH_OO渋谷源氏	2460	2470	I	て	て	テ	助詞-接続助詞			テ	和
14.01澪標	OH_OO渋谷源氏	2470	2480	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	2480	2490	I	御	御	ミ	接頭辞			ミ	和
14.01澪標	OH_OO渋谷源氏	2490	2510	I	心地	心地	ココチ	名詞-普通名詞-一般			ココチ	和
14.01澪標	OH_OO渋谷源氏	2510	2540	I	涼しく	涼しい	スズシイ	形容詞-一般	文語形容詞-シク	連用形-一般	スズシク	和
14.01澪標	OH_OO渋谷源氏	2540	2560	I	なむ	なむ	ナム	助詞-係助詞			ナン	和
14.01澪標	OH_OO渋谷源氏	2560	2580	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
14.01澪標	OH_OO渋谷源氏	2580	2600	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
14.01澪標	OH_OO渋谷源氏	2600	2610	I	。	。		補助記号-句点				記号
14.01澪標	OH_OO渋谷源氏	2610	2630	B	時々	時々	トキドキ	名詞-普通名詞-副詞可能			トキドキ	和
14.01澪標	OH_OO渋谷源氏	2630	2660	I	おこり	起こる	オコル	動詞-一般	文語四段-ラ行	連用形-一般	オコリ	和
14.01澪標	OH_OO渋谷源氏	2660	2680	I	悩ま	悩む	ナヤム	動詞-一般	文語四段-マ行	未然形-一般	ナヤマ	和
14.01澪標	OH_OO渋谷源氏	2680	2690	I	せ	せる	セル	助動詞	文語下二段-サ行	連用形-一般	セ	和
14.01澪標	OH_OO渋谷源氏	2690	2720	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
14.01澪標	OH_OO渋谷源氏	2720	2730	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
14.01澪標	OH_OO渋谷源氏	2730	2740	I	御	御	オオン	接頭辞			オオン	和
14.01澪標	OH_OO渋谷源氏	2740	2750	I	目	目	メ	名詞-普通名詞-一般			メ	和
14.01澪標	OH_OO渋谷源氏	2750	2760	I	も	も	モ	助詞-係助詞			モ	和
14.01澪標	OH_OO渋谷源氏	2760	2770	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	2770	2810	I	さはやぎ	爽やぐ	サワヤグ	動詞-一般	文語四段-ガ行	連用形-一般	サワヤギ	和
14.01澪標	OH_OO渋谷源氏	2810	2840	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
14.01澪標	OH_OO渋谷源氏	2840	2860	I	ぬれ	ぬ	ヌ	助動詞	文語助動詞-ヌ	已然形-一般	ヌレ	和
14.01澪標	OH_OO渋谷源氏	2860	2870	I	ど	ど	ド	助詞-接続助詞			ド	和
14.01澪標	OH_OO渋谷源氏	2870	2880	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	2880	2890	I	「	「		補助記号-括弧開				記号
14.01澪標	OH_OO渋谷源氏	2890	2930	I	おほかた	大方	オオカタ	副詞			オーカタ	和
14.01澪標	OH_OO渋谷源氏	2930	2940	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
14.01澪標	OH_OO渋谷源氏	2940	2950	I	に	に	ニ	助詞-格助詞			ニ	和
14.01澪標	OH_OO渋谷源氏	2950	2960	I	え	え	エ	副詞			エ	和
14.01澪標	OH_OO渋谷源氏	2960	2980	I	長く	長い	ナガイ	形容詞-一般	文語形容詞-ク	連用形-一般	ナガク	和
14.01澪標	OH_OO渋谷源氏	2980	3000	I	ある	有る	アル	動詞-非自立可能	文語ラ行変格	連体形-一般	アル	和
14.01澪標	OH_OO渋谷源氏	3000	3030	I	まじう	まじ	マジ	助動詞	文語助動詞-マジ	連用形-ウ音便	マジュー	和
14.01澪標	OH_OO渋谷源氏	3030	3040	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	3040	3070	I	心細き	心細い	ココロボソイ	形容詞-一般	文語形容詞-ク	連体形-一般	ココロボソキ	和
14.01澪標	OH_OO渋谷源氏	3070	3090	I	こと	事	コト	名詞-普通名詞-一般			コト	和
14.01澪標	OH_OO渋谷源氏	3090	3100	I	」	」		補助記号-括弧閉				記号
14.01澪標	OH_OO渋谷源氏	3100	3110	I	と	と	ト	助詞-格助詞			ト	和
14.01澪標	OH_OO渋谷源氏	3110	3130	I	のみ	のみ	ノミ	助詞-副助詞			ノミ	和
14.01澪標	OH_OO渋谷源氏	3130	3140	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	3140	3180	I	久しから	久しい	ヒサシイ	形容詞-一般	文語形容詞-シク	未然形-補助	ヒサシカラ	和
14.01澪標	OH_OO渋谷源氏	3180	3190	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
14.01澪標	OH_OO渋谷源氏	3190	3210	I	こと	事	コト	名詞-普通名詞-一般			コト	和
14.01澪標	OH_OO渋谷源氏	3210	3220	I	を	を	ヲ	助詞-格助詞			オ	和
14.01澪標	OH_OO渋谷源氏	3220	3240	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
14.01澪標	OH_OO渋谷源氏	3240	3260	I	つつ	つつ	ツツ	助詞-接続助詞			ツツ	和
14.01澪標	OH_OO渋谷源氏	3260	3270	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	3270	3280	I	常	常	ツネ	名詞-普通名詞-一般			ツネ	和
14.01澪標	OH_OO渋谷源氏	3280	3290	I	に	に	ニ	助詞-格助詞			ニ	和
14.01澪標	OH_OO渋谷源氏	3290	3310	I	召し	召す	メス	動詞-一般	文語四段-サ行	連用形-一般	メシ	和
14.01澪標	OH_OO渋谷源氏	3310	3330	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
14.01澪標	OH_OO渋谷源氏	3330	3340	I	て	て	テ	助詞-接続助詞			テ	和
14.01澪標	OH_OO渋谷源氏	3340	3350	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	3350	3360	I	源	ゲン	ゲン	名詞-固有名詞-人名-姓			ゲン	固
14.01澪標	OH_OO渋谷源氏	3360	3370	I	氏	氏	シ	接尾辞-名詞的-一般			ジ	漢
14.01澪標	OH_OO渋谷源氏	3370	3380	I	の	の	ノ	助詞-格助詞			ノ	和
14.01澪標	OH_OO渋谷源氏	3380	3390	I	君	君	キミ	名詞-普通名詞-一般			キミ	和
14.01澪標	OH_OO渋谷源氏	3390	3400	I	は	は	ハ	助詞-係助詞			ワ	和
14.01澪標	OH_OO渋谷源氏	3400	3420	I	参り	参る	マイル	動詞-非自立可能	文語四段-ラ行	連用形-一般	マイリ	和
14.01澪標	OH_OO渋谷源氏	3420	3450	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
14.01澪標	OH_OO渋谷源氏	3450	3460	I	。	。		補助記号-句点				記号
14.01澪標	OH_OO渋谷源氏	3460	3470	B	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
14.01澪標	OH_OO渋谷源氏	3470	3480	I	の	の	ノ	助詞-格助詞			ノ	和
14.01澪標	OH_OO渋谷源氏	3480	3490	I	中	中	ナカ	名詞-普通名詞-副詞可能			ナカ	和
14.01澪標	OH_OO渋谷源氏	3490	3500	I	の	の	ノ	助詞-格助詞			ノ	和
14.01澪標	OH_OO渋谷源氏	3500	3520	I	こと	事	コト	名詞-普通名詞-一般			コト	和
14.01澪標	OH_OO渋谷源氏	3520	3540	I	など	など	ナド	助詞-副助詞			ナド	和
14.01澪標	OH_OO渋谷源氏	3540	3550	I	も	も	モ	助詞-係助詞			モ	和
14.01澪標	OH_OO渋谷源氏	3550	3560	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	3560	3580	I	隔て	隔て	ヘダテ	名詞-普通名詞-一般			ヘダテ	和
14.01澪標	OH_OO渋谷源氏	3580	3600	I	なく	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連用形-一般	ナク	和
14.01澪標	OH_OO渋谷源氏	3600	3650	I	のたまはせ	宣わせる	ノタマワセル	動詞-一般	文語下二段-サ行	連用形-一般	ノタマワセ	和
14.01澪標	OH_OO渋谷源氏	3650	3670	I	つつ	つつ	ツツ	助詞-接続助詞			ツツ	和
14.01澪標	OH_OO渋谷源氏	3670	3680	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	3680	3690	I	御	御	オオン	接頭辞			オオン	和
14.01澪標	OH_OO渋谷源氏	3690	3710	I	本意	本意	ホンイ	名詞-普通名詞-一般			ホンイ	漢
14.01澪標	OH_OO渋谷源氏	3710	3720	I	の	の	ノ	助詞-格助詞			ノ	和
14.01澪標	OH_OO渋谷源氏	3720	3740	I	やう	様	ヨウ	名詞-普通名詞-形状詞可能			ヨー	漢
14.01澪標	OH_OO渋谷源氏	3740	3760	I	なれ	なり	ナリ	助動詞	文語助動詞-ナリ-断定	已然形-一般	ナレ	和
14.01澪標	OH_OO渋谷源氏	3760	3770	I	ば	ば	バ	助詞-接続助詞			バ	和
14.01澪標	OH_OO渋谷源氏	3770	3780	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	3780	3820	I	おほかた	大方	オオカタ	名詞-普通名詞-一般			オーカタ	和
14.01澪標	OH_OO渋谷源氏	3820	3830	I	の	の	ノ	助詞-格助詞			ノ	和
14.01澪標	OH_OO渋谷源氏	3830	3840	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
14.01澪標	OH_OO渋谷源氏	3840	3850	I	の	の	ノ	助詞-格助詞			ノ	和
14.01澪標	OH_OO渋谷源氏	3850	3860	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
14.01澪標	OH_OO渋谷源氏	3860	3870	I	も	も	モ	助詞-係助詞			モ	和
14.01澪標	OH_OO渋谷源氏	3870	3880	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	3880	3920	I	あいなく	あいない	アイナイ	形容詞-一般	文語形容詞-ク	連用形-一般	アイナク	和
14.01澪標	OH_OO渋谷源氏	3920	3930	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	3930	3970	I	うれしき	嬉しい	ウレシイ	形容詞-一般	文語形容詞-シク	連体形-一般	ウレシキ	和
14.01澪標	OH_OO渋谷源氏	3970	3990	I	こと	事	コト	名詞-普通名詞-一般			コト	和
14.01澪標	OH_OO渋谷源氏	3990	4000	I	に	に	ニ	助詞-格助詞			ニ	和
14.01澪標	OH_OO渋谷源氏	4000	4020	I	喜び	喜ぶ	ヨロコブ	動詞-一般	文語四段-バ行	連用形-一般	ヨロコビ	和
14.01澪標	OH_OO渋谷源氏	4020	4050	I	きこえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
14.01澪標	OH_OO渋谷源氏	4050	4070	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
14.01澪標	OH_OO渋谷源氏	4070	4080	I	。	。		補助記号-句点				記号
14.01澪標	OH_OO渋谷源氏	4080	4100	B	下り	下りる	オリル	動詞-一般	文語上二段-ラ行	連用形-一般	オリ	和
14.01澪標	OH_OO渋谷源氏	4100	4110	I	ゐ	居る	イル	動詞-非自立可能	文語上一段-ワ行	連用形-一般	イ	和
14.01澪標	OH_OO渋谷源氏	4110	4120	I	な	ぬ	ヌ	助動詞	文語助動詞-ヌ	未然形-一般	ナ	和
14.01澪標	OH_OO渋谷源氏	4120	4130	I	む	む	ム	助動詞	文語助動詞-ム	終止形-一般	ム	和
14.01澪標	OH_OO渋谷源氏	4130	4140	I	の	の	ノ	助詞-格助詞			ノ	和
14.01澪標	OH_OO渋谷源氏	4140	4150	I	御	御	ミ	接頭辞			ミ	和
14.01澪標	OH_OO渋谷源氏	4150	4190	I	心づかひ	心遣い	ココロヅカイ	名詞-普通名詞-一般			ココロズカイ	和
14.01澪標	OH_OO渋谷源氏	4190	4210	I	近く	近い	チカイ	形容詞-一般	文語形容詞-ク	連用形-一般	チカク	和
