13.03明石	OH_OO渋谷源氏	360	380	B	明石	アカシ	アカシ	名詞-固有名詞-地名-一般			アカシ	固
13.03明石	OH_OO渋谷源氏	2440	2450	I	親	親	オヤ	名詞-普通名詞-一般			オヤ	和
13.03明石	OH_OO渋谷源氏	2450	2470	I	たち	達	タチ	接尾辞-名詞的-一般			タチ	和
13.03明石	OH_OO渋谷源氏	2470	2480	I	も	も	モ	助詞-係助詞			モ	和
13.03明石	OH_OO渋谷源氏	2480	2490	I	、	、		補助記号-読点				記号
13.03明石	OH_OO渋谷源氏	2490	2500	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
13.03明石	OH_OO渋谷源氏	2500	2530	I	籠もり	籠もる	コモル	動詞-一般	文語四段-ラ行	連用形-一般	コモリ	和
13.03明石	OH_OO渋谷源氏	2530	2540	I	て	て	テ	助詞-接続助詞			テ	和
13.03明石	OH_OO渋谷源氏	2540	2570	I	過ぐす	過ぐす	スグス	動詞-一般	文語四段-サ行	連体形-一般	スグス	和
13.03明石	OH_OO渋谷源氏	2570	2590	I	年月	年月	トシツキ	名詞-普通名詞-一般			トシツキ	和
13.03明石	OH_OO渋谷源氏	2590	2610	I	こそ	こそ	コソ	助詞-係助詞			コソ	和
13.03明石	OH_OO渋谷源氏	2610	2620	I	、	、		補助記号-読点				記号
13.03明石	OH_OO渋谷源氏	2620	2670	I	あいな頼み	あいな頼み	アイナダノミ	名詞-普通名詞-一般			アイナダノミ	和
13.03明石	OH_OO渋谷源氏	2670	2680	I	に	に	ニ	助詞-格助詞			ニ	和
13.03明石	OH_OO渋谷源氏	2680	2690	I	、	、		補助記号-読点				記号
13.03明石	OH_OO渋谷源氏	2690	2710	I	行く	行く	イク	動詞-非自立可能	文語四段-カ行	連体形-一般	ユク	和
13.03明石	OH_OO渋谷源氏	2710	2720	I	末	末	スエ	名詞-普通名詞-副詞可能			スエ	和
13.03明石	OH_OO渋谷源氏	2720	2760	I	心にくく	心憎い	ココロニクイ	形容詞-一般	文語形容詞-ク	連用形-一般	ココロニクク	和
13.03明石	OH_OO渋谷源氏	2760	2780	I	思ふ	思う	オモウ	動詞-一般	文語四段-ハ行	終止形-一般	オモウ	和
13.03明石	OH_OO渋谷源氏	2780	2800	I	らめ	らむ	ラム	助動詞	文語助動詞-ラム	已然形-一般	ラメ	和
13.03明石	OH_OO渋谷源氏	2800	2810	I	、	、		補助記号-読点				記号
13.03明石	OH_OO渋谷源氏	2810	2850	I	なかなか	中々	ナカナカ	形状詞-一般			ナカナカ	和
13.03明石	OH_OO渋谷源氏	2850	2870	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
13.03明石	OH_OO渋谷源氏	2870	2880	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
13.03明石	OH_OO渋谷源氏	2880	2890	I	を	を	ヲ	助詞-格助詞			オ	和
13.03明石	OH_OO渋谷源氏	2890	2900	I	や	や	ヤ	助詞-係助詞			ヤ	和
13.03明石	OH_OO渋谷源氏	2900	2930	I	尽くさ	尽くす	ツクス	動詞-非自立可能	文語四段-サ行	未然形-一般	ツクサ	和
13.03明石	OH_OO渋谷源氏	2930	2940	I	む	む	ム	助動詞	文語助動詞-ム	終止形-一般	ム	和
13.03明石	OH_OO渋谷源氏	2940	2950	I	」	」		補助記号-括弧閉				記号
13.03明石	OH_OO渋谷源氏	2950	2960	I	と	と	ト	助詞-格助詞			ト	和
13.03明石	OH_OO渋谷源氏	2960	2980	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
13.03明石	OH_OO渋谷源氏	2980	2990	I	て	て	テ	助詞-接続助詞			テ	和
13.03明石	OH_OO渋谷源氏	2990	3000	I	、	、		補助記号-読点				記号
13.03明石	OH_OO渋谷源氏	3000	3010	I	「	「		補助記号-括弧開				記号
13.03明石	OH_OO渋谷源氏	3010	3030	I	ただ	唯	タダ	副詞			タダ	和
13.03明石	OH_OO渋谷源氏	3030	3040	I	こ	是	コ	代名詞			コ	和
13.03明石	OH_OO渋谷源氏	3040	3050	I	の	の	ノ	助詞-格助詞			ノ	和
13.03明石	OH_OO渋谷源氏	3050	3060	I	浦	浦	ウラ	名詞-普通名詞-一般			ウラ	和
13.03明石	OH_OO渋谷源氏	3060	3070	I	に	に	ニ	助詞-格助詞			ニ	和
13.03明石	OH_OO渋谷源氏	3070	3100	I	おはせ	おわす	オワス	動詞-非自立可能	文語サ行変格	未然形-一般	オワセ	和
13.03明石	OH_OO渋谷源氏	3100	3110	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
13.03明石	OH_OO渋谷源氏	3110	3130	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和
13.03明石	OH_OO渋谷源氏	3130	3140	I	、	、		補助記号-読点				記号
13.03明石	OH_OO渋谷源氏	3140	3170	I	かかる	斯かる	カカル	動詞-一般	文語ラ行変格	連体形-一般	カカル	和
13.03明石	OH_OO渋谷源氏	3170	3180	I	御	御	オオン	接頭辞			オオン	和
13.03明石	OH_OO渋谷源氏	3180	3190	I	文	文	フミ	名詞-普通名詞-一般			フミ	和
13.03明石	OH_OO渋谷源氏	3190	3220	I	ばかり	ばかり	バカリ	助詞-副助詞			バカリ	和
13.03明石	OH_OO渋谷源氏	3220	3230	I	を	を	ヲ	助詞-格助詞			オ	和
13.03明石	OH_OO渋谷源氏	3230	3260	I	聞こえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
13.03明石	OH_OO渋谷源氏	3260	3290	I	かはさ	交わす	カワス	動詞-非自立可能	文語四段-サ行	未然形-一般	カワサ	和
13.03明石	OH_OO渋谷源氏	3290	3300	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
13.03明石	OH_OO渋谷源氏	3300	3320	I	こそ	こそ	コソ	助詞-係助詞			コソ	和
13.03明石	OH_OO渋谷源氏	3320	3330	I	、	、		補助記号-読点				記号
13.03明石	OH_OO渋谷源氏	3330	3360	I	おろか	疎か	オロカ	名詞-普通名詞-一般			オロカ	和
13.03明石	OH_OO渋谷源氏	3360	3380	I	なら	なり	ナリ	助動詞	文語助動詞-ナリ-断定	未然形-一般	ナラ	和
13.03明石	OH_OO渋谷源氏	3380	3390	I	ね	ず	ズ	助動詞	文語助動詞-ズ	已然形-一般	ネ	和
13.03明石	OH_OO渋谷源氏	3390	3400	I	。	。		補助記号-句点				記号
13.03明石	OH_OO渋谷源氏	3400	3430	B	年ごろ	年頃	トシゴロ	名詞-普通名詞-一般			トシゴロ	和
13.03明石	OH_OO渋谷源氏	3430	3440	I	音	音	オト	名詞-普通名詞-一般			オト	和
13.03明石	OH_OO渋谷源氏	3440	3450	I	に	に	ニ	助詞-格助詞			ニ	和
13.03明石	OH_OO渋谷源氏	3450	3470	I	のみ	のみ	ノミ	助詞-副助詞			ノミ	和
13.03明石	OH_OO渋谷源氏	3470	3490	I	聞き	聞く	キク	動詞-一般	文語四段-カ行	連用形-一般	キキ	和
13.03明石	OH_OO渋谷源氏	3490	3500	I	て	て	テ	助詞-接続助詞			テ	和
13.03明石	OH_OO渋谷源氏	3500	3510	I	、	、		補助記号-読点				記号
13.03明石	OH_OO渋谷源氏	3510	3530	I	いつ	何時	イツ	代名詞			イツ	和
13.03明石	OH_OO渋谷源氏	3530	3540	I	か	か	カ	助詞-係助詞			カ	和
13.03明石	OH_OO渋谷源氏	3540	3550	I	は	は	ハ	助詞-係助詞			ワ	和
13.03明石	OH_OO渋谷源氏	3550	3570	I	さる	然る	サル	動詞-一般	文語ラ行変格	連体形-一般	サル	和
13.03明石	OH_OO渋谷源氏	3570	3580	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
13.03明石	OH_OO渋谷源氏	3580	3590	I	の	の	ノ	助詞-格助詞			ノ	和
13.03明石	OH_OO渋谷源氏	3590	3600	I	御	御	オオン	接頭辞			オオン	和
13.03明石	OH_OO渋谷源氏	3600	3640	I	ありさま	有り様	アリサマ	名詞-普通名詞-一般			アリサマ	和
13.03明石	OH_OO渋谷源氏	3640	3650	I	を	を	ヲ	助詞-格助詞			オ	和
13.03明石	OH_OO渋谷源氏	3650	3680	I	ほのか	仄か	ホノカ	形状詞-一般			ホノカ	和
13.03明石	OH_OO渋谷源氏	3680	3690	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
13.03明石	OH_OO渋谷源氏	3690	3700	I	も	も	モ	助詞-係助詞			モ	和
13.03明石	OH_OO渋谷源氏	3700	3710	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
13.03明石	OH_OO渋谷源氏	3710	3760	I	たてまつら	奉る	タテマツル	動詞-非自立可能	文語四段-ラ行	未然形-一般	タテマツラ	和
13.03明石	OH_OO渋谷源氏	3760	3770	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
13.03明石	OH_OO渋谷源氏	3770	3790	I	など	など	ナド	助詞-副助詞			ナド	和
13.03明石	OH_OO渋谷源氏	3790	3800	I	、	、		補助記号-読点				記号
13.03明石	OH_OO渋谷源氏	3800	3820	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
13.03明石	OH_OO渋谷源氏	3820	3840	I	かけ	掛ける	カケル	動詞-非自立可能	文語下二段-カ行	未然形-一般	カケ	和
13.03明石	OH_OO渋谷源氏	3840	3860	I	ざり	ず	ズ	助動詞	文語助動詞-ズ	連用形-補助	ザリ	和
13.03明石	OH_OO渋谷源氏	3860	3870	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
13.03明石	OH_OO渋谷源氏	3870	3880	I	御	御	オオン	接頭辞			オオン	和
13.03明石	OH_OO渋谷源氏	3880	3910	I	住まひ	住まい	スマイ	名詞-普通名詞-一般			スマイ	和
13.03明石	OH_OO渋谷源氏	3910	3920	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
13.03明石	OH_OO渋谷源氏	3920	3930	I	て	て	テ	助詞-接続助詞			テ	和
13.03明石	OH_OO渋谷源氏	3930	3940	I	、	、		補助記号-読点				記号
13.03明石	OH_OO渋谷源氏	3940	3960	I	まほ	真秀	マホ	形状詞-一般			マホ	和
13.03明石	OH_OO渋谷源氏	3960	3980	I	なら	なり	ナリ	助動詞	文語助動詞-ナリ-断定	未然形-一般	ナラ	和
13.03明石	OH_OO渋谷源氏	3980	3990	I	ね	ず	ズ	助動詞	文語助動詞-ズ	已然形-一般	ネ	和
13.03明石	OH_OO渋谷源氏	3990	4000	I	ど	ど	ド	助詞-接続助詞			ド	和
13.03明石	OH_OO渋谷源氏	4000	4030	I	ほのか	仄か	ホノカ	形状詞-一般			ホノカ	和
13.03明石	OH_OO渋谷源氏	4030	4040	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
13.03明石	OH_OO渋谷源氏	4040	4050	I	も	も	モ	助詞-係助詞			モ	和
13.03明石	OH_OO渋谷源氏	4050	4060	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
13.03明石	OH_OO渋谷源氏	4060	4110	I	たてまつり	奉る	タテマツル	動詞-非自立可能	文語四段-ラ行	連用形-一般	タテマツリ	和
13.03明石	OH_OO渋谷源氏	4110	4120	I	、	、		補助記号-読点				記号
13.03明石	OH_OO渋谷源氏	4120	4130	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
13.03明石	OH_OO渋谷源氏	4130	4140	I	に	に	ニ	助詞-格助詞			ニ	和
13.03明石	OH_OO渋谷源氏	4140	4160	I	なき	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連体形-一般	ナキ	和
13.03明石	OH_OO渋谷源氏	4160	4180	I	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
13.03明石	OH_OO渋谷源氏	4180	4190	I	と	と	ト	助詞-格助詞			ト	和
13.03明石	OH_OO渋谷源氏	4190	4210	I	聞き	聞く	キク	動詞-一般	文語四段-カ行	連用形-一般	キキ	和
13.03明石	OH_OO渋谷源氏	4210	4230	I	伝へ	伝える	ツタエル	動詞-一般	文語下二段-ハ行	連用形-一般	ツタエ	和
13.03明石	OH_OO渋谷源氏	4230	4240	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
13.03明石	OH_OO渋谷源氏	4240	4250	I	御	御	オオン	接頭辞			オオン	和
13.03明石	OH_OO渋谷源氏	4250	4260	I	琴	琴	コト	名詞-普通名詞-一般			コト	和
13.03明石	OH_OO渋谷源氏	4260	4270	I	の	の	ノ	助詞-格助詞			ノ	和
13.03明石	OH_OO渋谷源氏	4270	4280	I	音	音	ネ	名詞-普通名詞-一般			ネ	和
13.03明石	OH_OO渋谷源氏	4280	4290	I	を	を	ヲ	助詞-格助詞			オ	和
13.03明石	OH_OO渋谷源氏	4290	4300	I	も	も	モ	助詞-係助詞			モ	和
13.03明石	OH_OO渋谷源氏	4300	4310	I	風	風	カゼ	名詞-普通名詞-一般			カゼ	和
13.03明石	OH_OO渋谷源氏	4310	4320	I	に	に	ニ	助詞-格助詞			ニ	和
13.03明石	OH_OO渋谷源氏	4320	4340	I	つけ	付ける	ツケル	動詞-非自立可能	文語下二段-カ行	連用形-一般	ツケ	和
13.03明石	OH_OO渋谷源氏	4340	4350	I	て	て	テ	助詞-接続助詞			テ	和
13.03明石	OH_OO渋谷源氏	4350	4370	I	聞き	聞く	キク	動詞-一般	文語四段-カ行	連用形-一般	キキ	和
13.03明石	OH_OO渋谷源氏	4370	4380	I	、	、		補助記号-読点				記号
13.03明石	OH_OO渋谷源氏	4380	4420	I	明け暮れ	明け暮れ	アケクレ	名詞-普通名詞-サ変可能			アケクレ	和
13.03明石	OH_OO渋谷源氏	4420	4430	I	の	の	ノ	助詞-格助詞			ノ	和
13.03明石	OH_OO渋谷源氏	4430	4440	I	御	御	オオン	接頭辞			オオン	和
